Ausbildung,Mann,Frau
Ausbildung - Total,6581,5448
Universitäre Hochschule (UNI/ETH),11660,9334
Fachhochschule (FH)/PH,9558,7475
Höhere Berufsausbildung/Fachschule,8639,7222
Lehrerpatent,6766,6249
Matura,6951,5881
Abgeschlossene Berufsausbildung,6118,5312
Unternehmensinterne Ausbildung,5890,4603
Ohne abgeschlossene Berufsausbildung,5052,4128
Andere Ausbildungsabschlüsse,5958,4596
