Grossregion,Mann,Frau
Schweiz,7119,5920
Genferseeregion (VD/VS/GE),7576,6387
Espace Mittelland (BE/FR/SO/NE/JU),6717,5479
Nordwestschweiz (BS/BL/AG),6951,5881
Zürich (ZH),8028,6300
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),6064,5200
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),6659,5417
Tessin (TI),5708,4642
