Grossregion,Mann,Frau
Schweiz,4994,4133
Genferseeregion (VD/VS/GE),4859,4027
Espace Mittelland (BE/FR/SO/NE/JU),5055,4329
Nordwestschweiz (BS/BL/AG),5052,4128
Zürich (ZH),5060,4307
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),5029,3950
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),5051,4180
Tessin (TI),4479,3311
