Grossregion,Mann,Frau
Schweiz,5543,4333
Genferseeregion (VD/VS/GE),5457,4298
Espace Mittelland (BE/FR/SO/NE/JU),5637,4507
Nordwestschweiz (BS/BL/AG),5890,4603
Zürich (ZH),5802,4404
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),5530,4231
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),5787,4390
Tessin (TI),5069,3475
