Grossregion,Mann,Frau
Schweiz,7000,6260
Genferseeregion (VD/VS/GE),6717,5883
Espace Mittelland (BE/FR/SO/NE/JU),7185,6474
Nordwestschweiz (BS/BL/AG),6766,6249
Zürich (ZH),7296,6825
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),7574,6726
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),7445,6735
Tessin (TI),6067,5395
