Grossregion,Mann,Frau
Schweiz,9530,7511
Genferseeregion (VD/VS/GE),9210,7529
Espace Mittelland (BE/FR/SO/NE/JU),9481,7333
Nordwestschweiz (BS/BL/AG),9558,7475
Zürich (ZH),10147,7814
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),8811,7046
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),9808,7851
Tessin (TI),7436,6364
