Ausbildung,Mann,Frau
Ausbildung - Total,5921,4767
Universitäre Hochschule (UNI/ETH),10524,7888
Fachhochschule (FH)/PH,8811,7046
Höhere Berufsausbildung/Fachschule,7881,6556
Lehrerpatent,7574,6726
Matura,6064,5200
Abgeschlossene Berufsausbildung,5741,4862
Unternehmensinterne Ausbildung,5530,4231
Ohne abgeschlossene Berufsausbildung,5029,3950
Andere Ausbildungsabschlüsse,5317,4049
