Grossregion,Mann,Frau
Schweiz,8360,6965
Genferseeregion (VD/VS/GE),7976,6965
Espace Mittelland (BE/FR/SO/NE/JU),8171,6850
Nordwestschweiz (BS/BL/AG),8639,7222
Zürich (ZH),9296,7367
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),7881,6556
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),8324,6958
Tessin (TI),6293,4876
