Grossregion,Mann,Frau
Schweiz,6012,5187
Genferseeregion (VD/VS/GE),6001,5365
Espace Mittelland (BE/FR/SO/NE/JU),5958,5209
Nordwestschweiz (BS/BL/AG),6118,5312
Zürich (ZH),6365,5285
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),5741,4862
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),5930,5048
Tessin (TI),5571,4890
