Ausbildung,Mann,Frau
Ausbildung - Total,6394,5253
Universitäre Hochschule (UNI/ETH),11286,8573
Fachhochschule (FH)/PH,9530,7511
Höhere Berufsausbildung/Fachschule,8360,6965
Lehrerpatent,7000,6260
Matura,7119,5920
Abgeschlossene Berufsausbildung,6012,5187
Unternehmensinterne Ausbildung,5543,4333
Ohne abgeschlossene Berufsausbildung,4994,4133
Andere Ausbildungsabschlüsse,6087,4794
