Grossregion,Mann,Frau
Schweiz,6394,5253
Genferseeregion (VD/VS/GE),6378,5610
Espace Mittelland (BE/FR/SO/NE/JU),6302,5225
Nordwestschweiz (BS/BL/AG),6581,5448
Zürich (ZH),7043,5427
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),5921,4767
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),6318,5152
Tessin (TI),5475,4311
