Ausbildung,Mann,Frau
Ausbildung - Total,6318,5152
Universitäre Hochschule (UNI/ETH),12107,8730
Fachhochschule (FH)/PH,9808,7851
Höhere Berufsausbildung/Fachschule,8324,6958
Lehrerpatent,7445,6735
Matura,6659,5417
Abgeschlossene Berufsausbildung,5930,5048
Unternehmensinterne Ausbildung,5787,4390
Ohne abgeschlossene Berufsausbildung,5051,4180
Andere Ausbildungsabschlüsse,6507,4574
