Grossregion,Mann,Frau
Schweiz,11286,8573
Genferseeregion (VD/VS/GE),11413,8694
Espace Mittelland (BE/FR/SO/NE/JU),10783,8270
Nordwestschweiz (BS/BL/AG),11660,9334
Zürich (ZH),11666,8826
Ostschweiz (GL/SH/AR/AI/SG/GR/TG),10524,7888
Zentralschweiz (LU/UR/SZ/OW/NW/ZG),12107,8730
Tessin (TI),8667,6209
