Ausbildung,Mann,Frau
Ausbildung - Total,7043,5427
Universitäre Hochschule (UNI/ETH),11666,8826
Fachhochschule (FH)/PH,10147,7814
Höhere Berufsausbildung/Fachschule,9296,7367
Lehrerpatent,7296,6825
Matura,8028,6300
Abgeschlossene Berufsausbildung,6365,5285
Unternehmensinterne Ausbildung,5802,4404
Ohne abgeschlossene Berufsausbildung,5060,4307
Andere Ausbildungsabschlüsse,6150,4540
