Ausbildung,Mann,Frau
Ausbildung - Total,5475,4311
Universitäre Hochschule (UNI/ETH),8667,6209
Fachhochschule (FH)/PH,7436,6364
Höhere Berufsausbildung/Fachschule,6293,4876
Lehrerpatent,6067,5395
Matura,5708,4642
Abgeschlossene Berufsausbildung,5571,4890
Unternehmensinterne Ausbildung,5069,3475
Ohne abgeschlossene Berufsausbildung,4479,3311
Andere Ausbildungsabschlüsse,4983,3935
