Ausbildung,Mann,Frau
Ausbildung - Total,6302,5225
Universitäre Hochschule (UNI/ETH),10783,8270
Fachhochschule (FH)/PH,9481,7333
Höhere Berufsausbildung/Fachschule,8171,6850
Lehrerpatent,7185,6474
Matura,6717,5479
Abgeschlossene Berufsausbildung,5958,5209
Unternehmensinterne Ausbildung,5637,4507
Ohne abgeschlossene Berufsausbildung,5055,4329
Andere Ausbildungsabschlüsse,6584,5281
